Asin,UserName,Rating,Subject,ReviewDate,Review
8129137429,Rahul Indani,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in India on 12 December 2015,"









  
  
    
  Perfect One

  
"
8129137429,Kindle Customer,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 2 October 2015,"









  
  
    
  poor paper quality, you didnt give my gift also .....

  
"
8129137429,Prantik Singh,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 28 June 2016,"









  
  
    
  Nice

  
"
8129137429,pr,5.0 out of 5 stars,"







  
  
    exellent book
  
",Reviewed in India on 6 November 2015,"









  
  
    
  exellent book

  
"
8129137429,SomeRandomStudent,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 18 October 2015,"









  
  
    
  if i could i would give this book no stars.

  
"
8129137429,Arti,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in India on 29 June 2016,"









  
  
    
  Good book every Indian must read.

  
"
8129137429,Patel,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 11 June 2016,"









  
  
    
  Best price

  
"
8129137429,Amazon Customer,3.0 out of 5 stars,"







  
  
    Three Stars
  
",Reviewed in India on 5 June 2016,"









  
  
    
  Some pages were tored

  
"
8129137429,Hrishikesh Pachpute,4.0 out of 5 stars,"







  
  
    worth reading
  
",Reviewed in India on 19 August 2016,"









  
  
    
  Good book with clear and clean thoughts

  
"
8129137429,Amazon Customer,5.0 out of 5 stars,"







  
  
    Nice
  
",Reviewed in India on 7 June 2016,"









  
  
    
  Awesome book

  
"
8129137429,Pankaj Patil,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in India on 6 June 2016,"









  
  
    
  NICE BOOK...

  
"
8129137429,Amazon Customer,5.0 out of 5 stars,"







  
  
    nicr
  
",Reviewed in India on 2 November 2015,"









  
  
    
  Nice

  
"
8129137429,HARSHVARDHAN S.,4.0 out of 5 stars,"







  
  
    Nice book if you worry about India's backwardness even after 70 years of independence
  
",Reviewed in India on 19 June 2016,"









  
  
    
  Most readers who criticise Chetan Bhagat are just an example of why India is still a developing country because we dont appreciate people who rise from humble backgrounds and go on to become succussful unlike those born with silver spoon. People ridicule him for the fact that he being from IIT IIM and then after working in an MNC invstement bank decided to leave his job and start writing that too in simple English and strike a chord with the middle class indian youth. Just appreciate that he is concerned about the issues faced by our country and asking us to become inclusive in the development process.

  
"
8129137429,Anup,4.0 out of 5 stars,"







  
  
    I got it for 29/- only
  
",Reviewed in India on 30 June 2016,"









  
  
    
  Good

  
"
8129137429,Pankaj Shah,5.0 out of 5 stars,"







  
  
    *****
  
",Reviewed in India on 29 October 2015,"









  
  
    
  Worth the price.

  
"
8129137429,Amazon Customer,5.0 out of 5 stars,"







  
  
    Super book,....
  
",Reviewed in India on 28 October 2015,"









  
  
    
  Fastest delivery..... Good product.....

  
"
8129137429,Amulya garg,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 20 August 2015,"









  
  
    
  Just amazing!!

  
"
8129137429,Amazon Customer,1.0 out of 5 stars,"







  
  
    please please don' waste your money
  
",Reviewed in India on 14 May 2016,"









  
  
    
  wastage of money

  
"
8129137429,Amazon Customer,5.0 out of 5 stars,"







  
  
    best
  
",Reviewed in India on 7 November 2015,"









  
  
    
  Best book of Chetan bhagat

  
"
8129137429,Amazon Customer,2.0 out of 5 stars,"







  
  
    Two Stars
  
",Reviewed in India on 20 June 2016,"









  
  
    
  K not good

  
"
8129137429,Amazon Customer,1.0 out of 5 stars,"







  
  
    I wonder when people will realise that he is no intellectual but a poseur who has made it big by writing dumb rubbish for a gene
  
",Reviewed in India on 27 May 2016,"









  
  
    
  It's the usual Chetan Bhagat trash. I wonder when people will realise that he is no intellectual but a poseur who has made it big by writing dumb rubbish for a generation which knows nothing of what good writing or literature is all about.

  
"
8129137429,Rahul Vishwakarma,1.0 out of 5 stars,"







  
  
    boring
  
",Reviewed in India on 26 January 2016,"









  
  
    
  Boring

  
"
8129137429,Gaurang,1.0 out of 5 stars,"







  
  
    Waste of time and money both!!
  
",Reviewed in India on 7 November 2015,"









  
  
    
  This book is hell...chetan bhagat has himself deteriorated his standard after books like 2 sates and revolution 2020 this book is actually a disaster!! I strictly recommend you that please dont even think to buy this book you will suffer badly. You wont be able to read it, you will leave it in between as i did!!

  
"
8129137429,Avinash Sharma,4.0 out of 5 stars,"







  
  
    buy with amzon its a very good e-commerce site
  
",Reviewed in India on 1 December 2015,"









  
  
    
  hey guys,again my family member so happy to see my order and on those price they saying that woaoooooo what a deal . my father saying that now my son is ilisible for responsbility and now am so so happy...

  
"
8129137429,pranjal sensua,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 21 September 2015,"









  
  
    
  quintessential crap

  
"
8129137429,Rakesh Panghal,4.0 out of 5 stars,"







  
  
    Good
  
",Reviewed in India on 14 May 2016,"









  
  
    
  Good book

  
"
8129137429,RUCHITA Lakra,5.0 out of 5 stars,"







  
  
    I would say this was the kind i would love reading. He has written columns on every sensational ...
  
",Reviewed in India on 10 October 2015,"









  
  
    
  Well, I would say this was the kind i would love reading. He has written columns on every sensational issues following in the country.Somewhere these thoughts do come to our mind but we just overshadow with our day-to-day thoughts. It was good because he has touched on each and every sensational topics, hasnt cribbed about those but has provided with possible solutions.

  
"
8129137429,Amazon Customer,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in India on 27 October 2015,"









  
  
    
  fast delivery awesome

  
"
8129137429,Abhijit Shinde,4.0 out of 5 stars,"







  
  
    nice 1
  
",Reviewed in India on 17 February 2016,"









  
  
    
  nice book

  
"
8129137429,vyshak,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in India on 17 September 2015,"









  
  
    
  Good one

  
"
8129137429,Tanmay,1.0 out of 5 stars,"







  
  
    Not worth it
  
",Reviewed in India on 3 October 2015,"









  
  
    
  Didn't like it at all

  
"
8129137429,PC Gaming & sports (YouTube),1.0 out of 5 stars,"







  
  
    Save Trees, Don't buy this Crap
  
",Reviewed in India on 20 June 2017,"









  
  
    
  Wouldn't have this book for free let alone buy it on discount, always makes me wonder why on earth is this guy famous for ?

  
"
8129137429,Akanksha Dev,1.0 out of 5 stars,"







  
  
    ok type of
  
",Reviewed in India on 13 November 2015,"









  
  
    
  ok kind

  
"
8129137429,TS Singh,1.0 out of 5 stars,"







  
  
    Amazing price drop is a review in itself
  
",Reviewed in India on 21 September 2015,"









  
  
    
  Rs. 125 to Rs. 75 for paperback and available Free for Kindle users. That tells the story. :)

  
"
8129137429,Utkarsh Dubey,2.0 out of 5 stars,"







  
  
    Does not hold attention
  
",Reviewed in India on 22 May 2016,"









  
  
    
  I bought it at a serious discount 4 months ago. Am finding it boring and preachy and  have still not been able to read it.

  
"
8129137429,Md Kaifulwara Siddiqui,5.0 out of 5 stars,"







  
  
    Good
  
",Reviewed in India on 1 June 2016,"









  
  
    
  Good

  
"
8129137429,Amazon Customer,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in India on 2 November 2015,"









  
  
    
  Good Book.

  
"
8129137429,Shahid,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 24 November 2015,"









  
  
    
  its waste of money plz dont buy this book.

  
"
8129137429,Sonal,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 1 February 2016,"









  
  
    
  epic!!

  
"
8129137429,Aman,3.0 out of 5 stars,"







  
  
    Three Stars
  
",Reviewed in India on 10 June 2016,"









  
  
    
  Nice Book

  
"
8129137429,Aamod,1.0 out of 5 stars,"







  
  
    Buy only if u r a huge FAN of bhagat
  
",Reviewed in India on 18 September 2015,"









  
  
    
  I hope there could be a 1/4th star. I guess mr bhagat should write only movie stories now. Coming over to book:- our intelligent author thinks that everything than he says the young indian will blindly follow. Some of the aspects of the books goes beyond reality but then averagely some topics are nicely written.Majorly the rise if BJP SARKAAR is included in this book thats what i think.Or the election period and india should be the tittle

  
"
8129137429,Gajendra,5.0 out of 5 stars,"







  
  
    Chetan view on different subject
  
",Reviewed in India on 8 November 2015,"









  
  
    
  This is not a story book. If you like to read editorial page of news paper and think about society than this is for you. To be disagree with writer is personal view but fan of Chetan Bhagat  must read this book to know his view on different aspect of society.

  
"
8129137429,Amazon Customer,1.0 out of 5 stars,"







  
  
    Waste of Money
  
",Reviewed in India on 17 May 2016,"









  
  
    
  Not Worth

  
"
8129137429,Prachi Gupta,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 5 December 2015,"









  
  
    
  Good

  
"
8129137429,Random Robin,4.0 out of 5 stars,"







  
  
    Making India Awesome is another such book
  
",Reviewed in India on 20 August 2015,"









  
  
    
  One of the reasons why Chetan Bhagat is popular with readers around the country is that he has mastered the art of creating simple, yet effective communication, whether it is through hos fiction or non-fiction, which strikes a chord with the audience. Making India Awesome is another such book, which touches on complicated topics in a smart and effective manner.

  
"
8129137429,HS Singh,5.0 out of 5 stars,"







  
  
    amazing
  
",Reviewed in India on 22 November 2015,"









  
  
    
  Good

  
"
8129137429,surya,4.0 out of 5 stars,"







  
  
    Awesome Book, RIP haters
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Glad that a great writer came forward to keep india on track....there are some bad commentators(critics, actually) shouting below in comments without even reading the book.....people like you are enough to spoil the country...ok, overall the book is AWESOMEPROS:1)The Book shows some real and exact defects that we, indians have2)The Book Provided some real solutions to the problems3)Especially Youth of india was targeted and their duties were revised4)A Great Awareness About Gay Rights and Gender Equality was shownCONS:1)The Book Starts will a lot of political stuff and if you are a non-political type, then you may get bored at start but Trust me, the book has many variants inside..A True Indian Will Surely Love it..Jai Hindonce again thanks chetan, for a wonderful book through which you are helping many indian voices to raise up.

  
"
8129137429,Jyotimoy,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 7 June 2016,"









  
  
    
  Awesome awesome....

  
"
8129137429,Neeraj,5.0 out of 5 stars,"







  
  
    Excellent book every Indian should read.
  
",Reviewed in India on 3 September 2015,"









  
  
    
  This book describes the true state of India right now. If you're interested in politics and the current state of affairs in India, this is the book you should read. I'm not a fan of Chetan Bhagat writing style but he clearly described every aspect of Politics in India.

  
"
8129137429,SD,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 22 August 2015,"









  
  
    
  worst book ever written by Chetan Bhagat.... didn't expect such a rubbish book from one of India's bestseller author..

  
"
8129137429,Ganesh V S,5.0 out of 5 stars,"







  
  
    I hate all his other books but loved this one
  
",Reviewed in India on 24 May 2016,"









  
  
    
  Forget the tons of negative publicity on this book. I hate all his other books but loved this one.

  
"
8129137429,The Graahak,1.0 out of 5 stars,"







  
  
    Save your money, buy some other junk instead
  
",Reviewed in India on 4 September 2015,"









  
  
    
  It should come with a statutory warning saying: ""This book can lower your IQ by just looking at it! Read at your own risk"" At the cost of being heavily downvoted by a bunch of buffoons who think Chetan Bhagat is ""OMG so kewl"", I think THIS DUDE NEEDS TO STOP WRITING! That'll be one easy way of making India awesome!PS: Isn't preorder supposed to be cheaper? Preorder was for 125/ and now it's for 75/. LOL. Download a PDF if you are dead set on turning you brain into mush, don't pay this guy for his useless, plagiarised ideas that put the word "" idea"" to shame. Seriously, grow up!PPS: Do I have to give it one star? -_-

  
"
8129137429,Raksha Ramkumar,5.0 out of 5 stars,"







  
  
    Review for ""Making India Awesome""
  
",Reviewed in India on 2 September 2015,"









  
  
    
  Nice book. Simple language, effective. Connects to the young Indian, hat's off. Like the author Chetan ChetanBhagat.

  
"
8129137429,arun pradhan,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 13 October 2015,"









  
  
    
  its one of the 3 mistakes of my life :P

  
"
8129137429,amit,5.0 out of 5 stars,"







  
  
    This is the best book..
  
",Reviewed in India on 19 August 2015,"









  
  
    
  No one has read a book but writing a review and giving a suggestion to Chetan Bhagat... poor fans of current govt...

  
"
8129137429,ABL,4.0 out of 5 stars,"







  
  
    its cheap
  
",Reviewed in India on 23 May 2016,"









  
  
    
  its ok and very cheap

  
"
8129137429,satyanarayana,3.0 out of 5 stars,"







  
  
    Three Stars
  
",Reviewed in India on 13 December 2015,"









  
  
    
  Quite interesting

  
"
8129137429,Joel Anandkumar,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 30 October 2015,"









  
  
    
  Good

  
"
8129137429,@n,2.0 out of 5 stars,"







  
  
    non fiction
  
",Reviewed in India on 5 April 2016,"









  
  
    
  Read in just 4 hrsPlease contribute for making India awesome

  
"
8129137429,sachin kumar,5.0 out of 5 stars,"







  
  
    It is an amazing book that explains our national issues
  
",Reviewed in India on 23 October 2015,"









  
  
    
  It is an amazing book that explains our national issues.The author has given solution for every problem he has noted.This book reflects our present indian society and the mindset of people.Anyway one must not miss reading this book.

  
"
8129137429,Sandesha,5.0 out of 5 stars,"







  
  
    Be selfish!!!
  
",Reviewed in India on 12 September 2015,"









  
  
    
  Every Indian must read this book!! The author has identified the major issues in our country and the reasons why we are facing them. He has pick up the examples which are unfortunately the fact about us.You may not agree to all the suggestions and solutions he has given for the problems however, there is a scope to work towards them.I urge the fellow citizens to spare sometime to read this book because our country is our responsibility and no body else's. If we continue to live this miserable life which only focuses on our personal interests and continue to believe that we have come into this world only to settle down with a decent job and a small family, then we are only contributing to make our life more and more miserable. The coming generations will only have money but not the products on which they can their spend money as we are not realising the need of supporting our farmers and taking care of our natural resources. We all want to work in corporate which makes you and your spouse work for 12 hours in an air conditioned office, typing on the computer and leave you with no time to talk to your children and other family members. Its high time we pause and see where we are heading. Mind it people! you are not even being selfish in the true sense. So start being selfish and make your country a place which has advantages for you!

  
"
